Name,Multiples_used,Tot_cap
Liter 663228,20,13000.0
Liter 421430,7,1470.0
Liter 702930,2,1400.0
Liter 123030,1,1400.0
Liter 653030,2,1340.0
Liter 453026,3,1320.0
Liter 653029,2,1300.0
Liter 442730,3,1290.0
Liter 272828,5,1250.0
Liter 353030,4,1200.0
Liter 352828,4,1200.0
Liter 332830,4,1200.0
Liter 452827,3,1200.0
Liter 643030,2,1200.0
Liter 623030,2,1200.0
Liter 603030,2,1200.0
Liter 701215,8,1200.0
Liter 132630,1,1200.0
Liter 421214,14,1190.0
Liter 632830,2,1160.0
Liter 613030,2,1160.0
Liter 462527,3,1140.0
Liter 203030,7,1120.0
Liter 202830,7,1120.0
Liter 352830,4,1080.0
Liter 342428,4,1080.0
Liter 453030,3,1080.0
Liter 423030,3,1080.0
Liter 501430,6,1080.0
Liter 621013,12,1080.0
Liter 701530,4,1080.0
Liter 402827,3,1050.0
Liter 602730,2,1040.0
Liter 362630,3,1020.0
Liter 343030,4,1000.0
Liter 302630,4,1000.0
Liter 301226,10,1000.0
Liter 552730,2,1000.0
Liter 522826,2,1000.0
Liter 503028,2,1000.0
Liter 502828,2,1000.0
Liter 652530,2,1000.0
Liter 622530,2,1000.0
Liter 612528,2,1000.0
Liter 603027,2,1000.0
Liter 601430,5,1000.0
Liter 601428,5,1000.0
Liter 601325,5,1000.0
Liter 702530,2,1000.0
Liter 141330,2,1000.0
Liter 122730,1,1000.0
Liter 113030,1,1000.0
Liter 432827,3,990.0
Liter 501014,18,990.0
Liter 602629,2,990.0
Liter 401430,7,980.0
Liter 322730,4,960.0
Liter 451528,6,960.0
Liter 403030,3,960.0
Liter 652728,2,960.0
Liter 652626,2,960.0
Liter 622727,2,960.0
Liter 131330,2,960.0
Liter 103030,1,950.0
Liter 442630,3,945.0
Liter 553030,2,940.0
Liter 452728,3,930.0
Liter 352730,4,920.0
Liter 602830,2,920.0
Liter 602725,2,920.0
Liter 401429,7,910.0
Liter 201214,30,900.0
Liter 101414,60,900.0
Liter 350929,12,900.0
Liter 301324,10,900.0
Liter 462622,3,900.0
Liter 452628,3,900.0
Liter 452530,3,900.0
Liter 452428,3,900.0
Liter 451525,6,900.0
Liter 451430,6,900.0
Liter 451030,9,900.0
Liter 450930,9,900.0
Liter 402726,3,900.0
Liter 401529,6,900.0
Liter 521430,5,900.0
Liter 503030,2,900.0
Liter 501429,6,900.0
Liter 501428,6,900.0
Liter 501227,6,900.0
Liter 501013,18,900.0
Liter 632730,2,900.0
Liter 601230,5,900.0
Liter 702526,2,900.0
Liter 701028,6,900.0
Liter 701025,6,900.0
Liter 332730,4,880.0
Liter 331530,8,880.0
Liter 532626,2,880.0
Liter 651430,4,880.0
Liter 701430,4,880.0
Liter 531430,5,875.0
Liter 432625,3,870.0
Liter 501230,6,870.0
Liter 773030,1,850.0
Liter 103028,1,850.0
Liter 102528,1,850.0
Liter 972829,1,850.0
Liter 112529,1,850.0
Liter 201030,21,840.0
Liter 201015,42,840.0
Liter 351030,12,840.0
Liter 331030,12,840.0
Liter 330930,12,840.0
Liter 303030,4,840.0
Liter 302830,4,840.0
Liter 401428,7,840.0
Liter 532727,2,840.0
Liter 501214,12,840.0
Liter 602828,2,840.0
Liter 702626,2,840.0
Liter 701525,4,840.0
Liter 321229,9,810.0
Liter 441030,9,810.0
Liter 441028,9,810.0
Liter 431027,9,810.0
Liter 402530,3,810.0
Liter 401030,9,810.0
Liter 400930,9,810.0
Liter 401323,7,805.0
Liter 291430,10,800.0
Liter 282730,5,800.0
Liter 251530,10,800.0
Liter 361222,8,800.0
Liter 352530,4,800.0
Liter 351525,8,800.0
Liter 342530,4,800.0
Liter 342430,4,800.0
Liter 323030,4,800.0
Liter 322724,4,800.0
Liter 322424,4,800.0
Liter 301224,10,800.0
Liter 301415,20,800.0
Liter 552530,2,800.0
Liter 552528,2,800.0
Liter 551530,4,800.0
Liter 551415,10,800.0
Liter 543026,2,800.0
Liter 542630,2,800.0
Liter 541415,10,800.0
Liter 522025,2,800.0
Liter 521330,5,800.0
Liter 512724,2,800.0
Liter 502730,2,800.0
Liter 502528,2,800.0
Liter 501530,4,800.0
Liter 501522,4,800.0
Liter 652524,2,800.0
Liter 652425,2,800.0
Liter 651523,4,800.0
Liter 651520,4,800.0
Liter 622930,2,800.0
Liter 602626,2,800.0
Liter 602625,2,800.0
Liter 602624,2,800.0
Liter 602530,2,800.0
Liter 602528,2,800.0
Liter 602428,2,800.0
Liter 702529,2,800.0
Liter 702226,2,800.0
Liter 701425,4,800.0
Liter 701327,4,800.0
Liter 902728,1,800.0
Liter 902330,1,800.0
Liter 801525,2,800.0
Liter 452226,3,795.0
Liter 251330,12,780.0
Liter 251328,12,780.0
Liter 211528,12,780.0
Liter 452224,3,780.0
Liter 451230,6,780.0
Liter 422326,3,780.0
Liter 402824,3,780.0
Liter 402226,3,780.0
Liter 501328,6,780.0
Liter 501130,6,780.0
Liter 701024,6,780.0
Liter 421130,7,770.0
Liter 401228,7,770.0
Liter 321325,9,765.0
Liter 321324,9,765.0
Liter 401029,9,765.0
Liter 312326,4,760.0
Liter 302428,4,760.0
Liter 302426,4,760.0
Liter 301530,8,760.0
Liter 502830,2,760.0
Liter 502728,2,760.0
Liter 652528,2,760.0
Liter 642527,2,760.0
Liter 702727,2,760.0
Liter 702030,2,760.0
Liter 270829,15,750.0
Liter 251524,10,750.0
Liter 301422,10,750.0
Liter 422227,3,750.0
Liter 422025,3,750.0
Liter 402826,3,750.0
Liter 402528,3,750.0
Liter 402228,3,750.0
Liter 551230,5,750.0
Liter 551228,5,750.0
Liter 551014,15,750.0
Liter 551012,15,750.0
Liter 541014,15,750.0
Liter 601130,5,750.0
Liter 902830,1,750.0
Liter 901425,3,750.0
Liter 892830,1,750.0
Liter 101425,3,750.0
Liter 972830,1,750.0
Liter 962830,1,750.0
Liter 962730,1,750.0
Liter 922829,1,750.0
Liter 112330,1,750.0
Liter 112328,1,750.0
Liter 401515,12,744.0
Liter 662028,2,740.0
Liter 602826,2,740.0
Liter 752728,1,730.0
Liter 923030,1,730.0
Liter 362227,3,720.0
Liter 361422,8,720.0
Liter 351422,8,720.0
Liter 351330,8,720.0
Liter 351327,8,720.0
Liter 351028,12,720.0
Liter 351024,12,720.0
Liter 350926,12,720.0
Liter 350830,12,720.0
Liter 350829,12,720.0
Liter 341422,8,720.0
Liter 341328,8,720.0
Liter 332430,4,720.0
Liter 332224,4,720.0
Liter 332030,4,720.0
Liter 321323,9,720.0
Liter 321027,12,720.0
Liter 302628,4,720.0
Liter 302530,4,720.0
Liter 302529,4,720.0
Liter 302528,4,720.0
Liter 302430,4,720.0
Liter 301030,12,720.0
Liter 301028,12,720.0
Liter 301025,12,720.0
Liter 451524,6,720.0
Liter 450829,9,720.0
Liter 451515,12,720.0
Liter 451015,18,720.0
Liter 441422,6,720.0
Liter 431230,6,720.0
Liter 431415,12,720.0
Liter 401525,6,720.0
Liter 401523,6,720.0
Liter 401015,18,720.0
Liter 502725,2,720.0
Liter 501030,6,720.0
Liter 501315,12,720.0
Liter 501110,18,720.0
Liter 651024,6,720.0
Liter 601528,4,720.0
Liter 601525,4,720.0
Liter 601015,12,720.0
Liter 701218,4,720.0
Liter 701023,6,720.0
Liter 852927,1,720.0
Liter 952830,1,720.0
Liter 291126,10,700.0
Liter 281228,10,700.0
Liter 263028,5,700.0
Liter 352522,4,700.0
Liter 322826,4,700.0
Liter 421225,7,700.0
Liter 401425,7,700.0
Liter 401230,7,700.0
Liter 401315,14,700.0
Liter 401314,14,700.0
Liter 531229,5,700.0
Liter 522824,2,700.0
Liter 522530,2,700.0
Liter 502825,2,700.0
Liter 501528,4,700.0
Liter 652526,2,700.0
Liter 652330,2,700.0
Liter 652030,2,700.0
Liter 601323,5,700.0
Liter 702028,2,700.0
Liter 903030,1,700.0
Liter 853030,1,700.0
Liter 102730,1,700.0
Liter 102530,1,700.0
Liter 952728,1,700.0
Liter 112528,1,700.0
Liter 452526,3,690.0
Liter 451830,3,690.0
Liter 531030,6,690.0
Liter 350925,12,684.0
Liter 351425,8,680.0
Liter 351125,8,680.0
Liter 621230,4,680.0
Liter 400928,9,675.0
Liter 400830,9,675.0
Liter 251314,24,672.0
Liter 902730,1,670.0
Liter 112426,1,670.0
Liter 401423,7,665.0
Liter 271015,30,660.0
Liter 350923,12,660.0
Liter 452225,3,660.0
Liter 452030,3,660.0
Liter 451423,6,660.0
Liter 451226,6,660.0
Liter 442030,3,660.0
Liter 431426,6,660.0
Liter 422228,3,660.0
Liter 401524,6,660.0
Liter 552426,2,660.0
Liter 541015,12,660.0
Liter 501225,6,660.0
Liter 652223,2,660.0
Liter 601025,6,660.0
Liter 801228,3,660.0
Liter 242530,5,650.0
Liter 301323,10,650.0
Liter 521228,5,650.0
Liter 511328,5,650.0
Liter 601125,5,650.0
Liter 601214,10,650.0
Liter 601115,10,650.0
Liter 601114,10,650.0
Liter 902530,1,650.0
Liter 852730,1,650.0
Liter 803030,1,650.0
Liter 802830,1,650.0
Liter 102428,1,650.0
Liter 952527,1,650.0
Liter 112527,1,650.0
Liter 352525,4,640.0
Liter 351521,8,640.0
Liter 351520,8,640.0
Liter 351423,8,640.0
Liter 351420,8,640.0
Liter 351325,8,640.0
Liter 351230,8,640.0
Liter 351225,8,640.0
Liter 351315,16,640.0
Liter 341427,8,640.0
Liter 322224,4,640.0
Liter 301525,8,640.0
Liter 301515,16,640.0
Liter 552622,2,640.0
Liter 552230,2,640.0
Liter 502230,2,640.0
Liter 651515,8,640.0
Liter 622030,2,640.0
Liter 602526,2,640.0
Liter 701522,4,640.0
Liter 701420,4,640.0
Liter 701225,4,640.0
Liter 701125,4,640.0
Liter 331222,9,630.0
Liter 321322,9,630.0
Liter 451421,6,630.0
Liter 430927,9,630.0
Liter 421224,7,630.0
Liter 420828,9,630.0
Liter 401226,7,630.0
Liter 400929,9,630.0
Liter 400927,9,630.0
Liter 400926,9,630.0
Liter 400925,9,630.0
Liter 601013,15,630.0
Liter 753030,1,630.0
Liter 801225,3,630.0
Liter 311013,27,621.0
Liter 902430,1,610.0
Liter 281221,10,600.0
Liter 361122,8,600.0
Liter 322328,4,600.0
Liter 302228,4,600.0
Liter 301321,10,600.0
Liter 301125,10,600.0
Liter 301315,20,600.0
Liter 301215,20,600.0
Liter 452323,3,600.0
Liter 451730,3,600.0
Liter 451522,6,600.0
Liter 451225,6,600.0
Liter 422525,3,600.0
Liter 422222,3,600.0
Liter 422122,3,600.0
Liter 422030,3,600.0
Liter 402030,3,600.0
Liter 401522,6,600.0
Liter 551423,5,600.0
Liter 551323,5,600.0
Liter 551414,10,600.0
Liter 551215,10,600.0
Liter 551013,15,600.0
Liter 542623,2,600.0
Liter 541110,15,600.0
Liter 531529,4,600.0
Liter 531522,4,600.0
Liter 522328,2,600.0
Liter 512521,2,600.0
Liter 512328,2,600.0
Liter 502622,2,600.0
Liter 502530,2,600.0
Liter 502128,2,600.0
Liter 501525,4,600.0
Liter 501223,6,600.0
Liter 501028,6,600.0
Liter 501026,6,600.0
Liter 500930,6,600.0
Liter 500929,6,600.0
Liter 500830,6,600.0
Liter 501215,12,600.0
Liter 501115,12,600.0
Liter 501114,12,600.0
Liter 501015,12,600.0
Liter 500915,12,600.0
Liter 652126,2,600.0
Liter 651120,4,600.0
Liter 641727,2,600.0
Liter 641724,2,600.0
Liter 621727,2,600.0
Liter 602525,2,600.0
Liter 602425,2,600.0
Liter 602030,2,600.0
Liter 602028,2,600.0
Liter 601730,2,600.0
Liter 601522,4,600.0
Liter 601225,5,600.0
Liter 601223,5,600.0
Liter 601113,10,600.0
Liter 751229,4,600.0
Liter 722530,1,600.0
Liter 702026,2,600.0
Liter 702025,2,600.0
Liter 701323,4,600.0
Liter 701128,4,600.0
Liter 832530,1,600.0
Liter 802730,1,600.0
Liter 802729,1,600.0
Liter 802530,1,600.0
Liter 801530,2,600.0
Liter 801325,3,600.0
Liter 102626,1,600.0
Liter 102525,1,600.0
Liter 102430,1,600.0
Liter 102228,1,600.0
Liter 112229,1,600.0
Liter 202430,7,595.0
Liter 430929,9,585.0
Liter 430928,9,585.0
Liter 401025,9,585.0
Liter 552030,2,580.0
Liter 502826,2,580.0
